O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
688,600811,东方集团,2014/06/30,16.7亿,16.7亿,1.21万,0.29,5.37,5.49,30.3亿,-28.24,4.44亿,7.78亿,4.55亿,4.78亿,-9.36,35.9亿,2.16,2.76,177亿,40.8亿,4.47亿,17.8亿,82.2亿,61.5亿,20.7亿,46.48,89.6亿,50.64,21.4亿,1.24,0,0,1994/01/06
689,600812,华北制药,2014/06/30,16.3亿,10.3亿,1.30万,0.01,3.17,0.23,55.8亿,-14.90,1115万,1088万,1785万,1038万,28.91,-8919万,-0.05,12.94,153亿,61.3亿,59.4亿,3.22亿,101亿,79.9亿,21.1亿,65.91,51.7亿,33.75,34.5亿,1.87,0,0,1994/01/14
690,600814,杭州解百,2014/06/30,3.10亿,3.10亿,1.05万,0.09,2.65,3.19,8.09亿,-18.60,3050万,447万,3748万,2651万,-43.64,3.71亿,1.20,17.58,11.5亿,1.72亿,8.31亿,2291万,3.28亿,3.24亿,449万,28.50,8.23亿,71.46,3857万,0.11,0,0,1994/01/14
691,600815,厦工股份,2014/06/30,9.59亿,9.40亿,1.37万,0.00,4.24,0.03,24.6亿,-34.98,-8974万,631万,1091万,136万,0.00,8.15亿,0.85,10.78,115亿,90.2亿,14.3亿,3.67亿,73.1亿,55.3亿,17.8亿,63.81,40.7亿,35.49,20.2亿,2.10,0,0,1994/01/28
692,600816,安信信托,2014/06/30,4.54亿,4.54亿,9878,1.21,2.71,48.15,8.81亿,302.59,7.31亿,0,7.31亿,5.48亿,396.52,7.44亿,1.44,0.00,19.7亿,0,2890万,636万,6.48亿,0,0,32.90,13.2亿,67.10,3860万,0.09,0,0,1994/01/28
693,600817,ST宏盛,2014/06/30,1.61亿,1.48亿,1.36万,0.00,0.78,0.15,1567万,-40.26,242万,0,256万,41.1万,-64.84,-2.56亿,-1.59,98.80,6.65亿,8197万,50.7万,4533,3.95亿,2079万,3.74亿,59.34,1.25亿,18.79,2.12亿,1.29,0,0,1994/01/28
694,600818,中路股份,2014/06/30,3.21亿,2.38亿,1.35万,0.02,1.16,1.57,3.26亿,12.05,567万,276万,654万,597万,-10.83,3278万,0.10,16.44,7.18亿,2.72亿,1.11亿,7142万,3.19亿,3.19亿,0,44.43,3.72亿,51.79,580万,0.05,8349万,0,1994/01/28
695,600819,耀皮玻璃,2014/06/30,9.35亿,5.44亿,1.77万,0.03,3.40,0.96,12.0亿,8.25,-1888万,1152万,3187万,3083万,-52.75,6.68亿,0.71,21.25,76.5亿,32.9亿,26.8亿,4.65亿,40.6亿,26.5亿,14.1亿,53.15,31.8亿,41.55,11.0亿,0.44,1.88亿,0,1994/01/28
696,600820,隧道股份,2014/06/30,28.1亿,19.8亿,2.23万,0.22,4.86,5.37,98.8亿,5.46,6.84亿,5.83亿,7.97亿,6.25亿,2.40,40.0亿,1.42,10.16,600亿,256亿,20.8亿,42.8亿,463亿,252亿,210亿,77.10,132亿,22.05,56.6亿,4.54,0,0,1994/01/28
697,600821,津劝业,2014/06/30,4.16亿,4.16亿,6904,0.01,1.43,0.97,3.64亿,-27.78,432万,4549万,572万,572万,14.27,-9698万,-0.23,11.87,18.4亿,2.94亿,7.65亿,3846万,12.5亿,12.5亿,285万,67.78,5.94亿,32.22,1.79亿,0.43,0,0,1994/01/28
