O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
82,600103,青山纸业,2014/06/30,10.6亿,10.6亿,6772,0.03,1.18,2.45,8.71亿,-6.27,5446万,1.61亿,4740万,3217万,0.00,-2530万,-0.02,10.90,35.6亿,18.1亿,14.7亿,1.40亿,21.8亿,12.1亿,9.72亿,61.31,12.5亿,35.07,746万,0.16,0,0,1997/07/03
83,600104,上汽集团,2014/06/30,110亿,92.4亿,6.44万,1.23,12.51,9.40,3183亿,13.90,221亿,149亿,224亿,136亿,18.37,667亿,6.05,11.04,3735亿,2300亿,274亿,59.1亿,2138亿,1874亿,264亿,57.24,1379亿,36.91,423亿,3.99,0,0,1997/11/25
84,600105,永鼎股份,2014/06/30,3.81亿,3.81亿,7437,0.29,4.17,6.97,6.94亿,51.23,1.41亿,7221万,1.67亿,1.10亿,674.47,5.36亿,1.41,18.88,24.8亿,14.5亿,1.85亿,3353万,7.82亿,7.64亿,1821万,31.54,15.9亿,64.07,4.62亿,1.21,0,0,1997/09/29
85,600106,重庆路桥,2014/06/30,9.08亿,9.08亿,1.08万,0.16,2.56,6.16,1.67亿,4.72,1.51亿,1.04亿,1.51亿,1.42亿,23.56,11.0亿,1.21,84.14,56.7亿,13.7亿,3.47亿,4191万,33.4亿,2.10亿,31.3亿,58.96,23.3亿,41.04,5429万,0.06,0,0,1997/06/18
86,600107,美尔雅,2014/06/30,3.60亿,3.60亿,6168,0.00,1.48,0.12,2.32亿,-12.05,670万,194万,678万,64.4万,-96.60,-1167万,-0.03,42.01,24.2亿,20.7亿,2.04亿,7868万,17.2亿,15.9亿,1.26亿,71.08,5.32亿,22.03,1.59亿,0.44,0,0,1997/11/06
87,600108,亚盛集团,2014/06/30,19.5亿,19.5亿,9245,0.06,2.26,2.31,8.48亿,-0.01,1.12亿,436万,1.16亿,1.13亿,-12.76,15.3亿,0.79,26.61,74.7亿,35.1亿,8.63亿,20.9亿,30.3亿,16.5亿,13.8亿,40.54,43.9亿,58.83,6.41亿,0.55,0,0,1997/08/18
88,600109,国金证券,2014/06/30,12.9亿,12.9亿,1.58万,0.29,5.78,5.48,11.7亿,37.78,4.67亿,4.37亿,4.70亿,3.79亿,116.99,18.9亿,1.46,0.00,170亿,0,5133万,2440万,94.7亿,0,0,55.73,74.8亿,44.04,32.7亿,2.11,0,0,1997/08/07
89,600110,中科英华,2014/06/30,11.5亿,11.5亿,9777,0.00,1.74,0.19,11.1亿,8.55,335万,-2897万,571万,382万,-8.71,6323万,0.06,18.51,70.6亿,36.3亿,21.7亿,3.34亿,49.8亿,35.8亿,14.1亿,70.56,20.0亿,28.25,7.27亿,0.65,0,0,1997/10/07
90,600111,包钢稀土,2014/06/30,24.2亿,14.8亿,4331,0.12,3.14,3.53,23.8亿,-50.64,7027万,-130万,1.06亿,2.78亿,-73.52,39.4亿,1.63,31.03,173亿,119亿,21.3亿,5.85亿,73.8亿,68.7亿,5.14亿,42.80,76.2亿,44.14,1.53亿,0.06,0,0,1997/09/24
91,600112,天成控股,2014/06/30,5.09亿,5.09亿,2.00万,0.06,2.40,2.56,2.14亿,-44.73,2897万,5637万,3150万,3083万,11.43,3.58亿,0.70,39.56,26.4亿,13.4亿,3.08亿,2.48亿,14.2亿,11.1亿,3.09亿,53.69,12.2亿,46.31,3.31亿,0.64,0,0,1997/11/27
92,600113,浙江东日,2014/06/30,3.19亿,3.19亿,9603,0.04,1.83,2.08,1.87亿,43.49,1313万,937万,1294万,1210万,-28.07,1.20亿,0.36,8.83,10.4亿,7.91亿,2330万,1370万,3.84亿,3.36亿,4850万,36.92,5.89亿,56.57,1.07亿,0.34,0,0,1997/10/21
93,600114,东睦股份,2014/06/30,3.77亿,1.66亿,9326,0.18,3.56,5.78,6.08亿,4.96,7678万,0,8240万,6064万,59.18,1.70亿,0.45,30.52,17.8亿,7.06亿,7.75亿,1.48亿,3.49亿,3.13亿,3599万,19.65,13.4亿,75.51,7.38亿,1.60,0,0,2004/05/11
94,600115,东方航空,2014/06/30,127亿,77.8亿,4.82万,0.00,1.94,0.06,426亿,2.68,-23.1亿,3500万,2.05亿,1400万,-98.17,-29.3亿,-0.23,7.68,1507亿,151亿,953亿,24.6亿,1244亿,542亿,702亿,82.60,245亿,16.28,148亿,1.38,0,34.9亿,1997/11/05
95,600116,三峡水利,2014/06/30,2.68亿,2.68亿,5714,0.25,4.32,5.88,4.83亿,7.11,7014万,863万,7325万,6780万,91.10,3.54亿,1.20,27.45,37.8亿,10.2亿,18.6亿,4734万,25.4亿,12.6亿,12.8亿,67.09,11.9亿,31.39,5.13亿,1.92,0,0,1997/08/04
96,600117,西宁特钢,2014/06/30,7.41亿,7.41亿,1.02万,-0.17,3.63,-4.54,28.5亿,-13.30,-9187万,240万,-8719万,-1.25亿,-280.94,10.4亿,1.40,17.02,198亿,39.7亿,88.0亿,11.8亿,163亿,127亿,36.1亿,82.40,26.9亿,13.62,7.12亿,0.95,0,0,1997/10/15
97,600118,中国卫星,2014/06/30,11.8亿,11.8亿,1.38万,0.13,3.47,3.87,22.1亿,6.26,1.80亿,0,1.88亿,1.60亿,8.82,12.5亿,1.06,12.20,89.2亿,78.0亿,3.83亿,2.28亿,42.3亿,40.6亿,1.76亿,47.48,41.0亿,46.04,16.1亿,1.37,0,0,1997/09/08
98,600119,长江投资,2014/06/30,3.07亿,3.07亿,1.09万,0.07,2.43,2.95,6.14亿,-21.97,2889万,118万,3965万,2220万,13.41,9258万,0.30,15.31,19.4亿,9.00亿,3.62亿,1.48亿,9.84亿,7.79亿,2.04亿,50.73,7.48亿,38.59,3.22亿,1.05,0,0,1998/01/15
99,600120,浙江东方,2014/06/30,5.05亿,5.05亿,1.48万,0.58,7.42,7.05,45.6亿,-7.41,4.00亿,3.65亿,4.10亿,2.92亿,8.74,16.2亿,3.20,8.59,113亿,63.7亿,2.93亿,4.70亿,68.3亿,52.7亿,15.6亿,60.35,37.5亿,33.14,13.4亿,4.86,0,0,1997/12/01
100,600121,郑州煤电,2014/06/30,10.2亿,6.29亿,8085,-0.05,3.84,-1.37,67.1亿,-37.04,6664万,296万,6758万,-5196万,-371.88,14.3亿,1.41,9.08,117亿,43.9亿,53.4亿,7.82亿,68.0亿,61.0亿,7.00亿,57.90,39.0亿,33.23,6.50亿,0.66,0,0,1998/01/07
101,600122,宏图高科,2014/06/30,11.4亿,11.3亿,1.54万,0.08,4.97,1.58,76.3亿,5.32,1.44亿,2736万,1.40亿,9195万,-1.86,15.1亿,1.33,7.86,146亿,119亿,7.03亿,6083万,86.4亿,73.0亿,13.4亿,59.13,56.7亿,38.81,29.3亿,2.74,0,0,1998/04/20
102,600123,兰花科创,2014/06/30,11.4亿,11.4亿,1.14万,-0.01,8.28,-0.08,25.7亿,-16.79,-947万,1.31亿,-1318万,-794万,-101.13,64.2亿,5.36,30.79,216亿,73.8亿,40.6亿,45.5亿,111亿,45.7亿,65.0亿,51.35,97.6亿,45.29,3.93亿,0.34,0,0,1998/12/17
103,600125,铁龙物流,2014/06/30,13.1亿,13.1亿,1.35万,0.13,3.46,3.94,19.5亿,-12.95,2.28亿,132万,2.34亿,1.75亿,-27.33,26.1亿,2.00,15.09,67.0亿,42.7亿,19.5亿,5134万,21.6亿,12.8亿,8.82亿,32.25,45.2亿,67.41,1.58亿,0.12,0,0,1998/05/11
104,600126,杭钢股份,2014/06/30,8.39亿,8.39亿,1.96万,0.01,3.94,0.27,78.4亿,-3.63,2588万,-14.9万,2808万,895万,0.00,12.0亿,1.44,3.65,87.4亿,64.5亿,21.0亿,3265万,51.1亿,51.1亿,360万,58.50,33.1亿,37.81,7.36亿,0.88,0,0,1998/03/11
105,600127,金健米业,2014/06/30,6.42亿,5.44亿,4397,0.01,1.40,0.49,7.61亿,12.38,-1475万,20.0万,536万,436万,-82.44,-2.26亿,-0.35,12.19,12.5亿,5.73亿,4.92亿,5886万,3.35亿,3.05亿,3095万,26.91,8.99亿,72.10,4.66亿,0.73,0,0,1998/05/06
106,600128,弘业股份,2014/06/30,2.47亿,2.47亿,6601,0.10,5.75,1.74,17.2亿,4.53,2606万,982万,3298万,2461万,15.48,3.52亿,1.42,6.55,33.4亿,24.0亿,3.26亿,9136万,18.2亿,18.1亿,1489万,54.52,14.2亿,42.44,6.98亿,2.82,0,0,1997/09/01
107,600129,太极集团,2014/06/30,4.27亿,4.27亿,1.04万,0.06,2.98,2.13,37.0亿,7.16,4637万,50.6万,4979万,2362万,12.29,-3185万,-0.07,26.06,96.0亿,50.2亿,14.3亿,19.1亿,77.1亿,60.9亿,16.2亿,80.31,12.7亿,13.27,8.04亿,1.16,0,0,1997/11/18
108,600130,波导股份,2014/06/30,7.68亿,7.68亿,1.08万,0.04,1.11,3.54,7.84亿,25.25,2555万,1748万,3165万,2967万,16.16,-4.36亿,-0.57,9.83,11.0亿,7.34亿,1.07亿,1519万,2.43亿,2.33亿,975万,22.16,8.54亿,77.84,4.56亿,0.59,0,0,2000/07/06
109,600131,岷江水电,2014/06/30,5.04亿,3.97亿,7327,0.14,1.43,10.52,3.89亿,-13.98,7151万,5747万,6979万,7214万,0.00,5938万,0.12,22.25,23.9亿,2.72亿,12.0亿,2183万,16.7亿,5.45亿,11.2亿,69.81,7.22亿,30.23,4714万,0.09,0,0,1998/04/02
110,600132,重庆啤酒,2014/06/30,4.84亿,4.84亿,7861,0.23,3.20,7.00,15.4亿,-8.24,1.29亿,1924万,1.31亿,1.11亿,-1.43,8.24亿,1.70,37.09,45.3亿,19.3亿,18.4亿,5.02亿,27.3亿,27.3亿,0,60.24,15.5亿,34.24,0,0.01,0,0,1997/10/30
111,600133,东湖高新,2014/06/30,6.34亿,4.27亿,5849,0.09,1.99,4.93,25.9亿,65.71,7938万,125万,8069万,6009万,0.00,-8230万,-0.13,9.44,119亿,97.0亿,9.38亿,1866万,105亿,69.9亿,35.1亿,88.24,12.6亿,10.59,5.43亿,0.86,0,0,1998/02/12
112,600135,乐凯胶片,2014/06/30,3.42亿,3.42亿,1.26万,0.06,2.88,1.95,4.54亿,1.12,2562万,179万,2618万,1910万,4.08,1.65亿,0.48,20.41,11.1亿,7.57亿,2.50亿,3991万,1.05亿,1.05亿,13.5万,9.46,9.86亿,88.87,3.41亿,1.00,0,0,1998/01/22
113,600136,道博股份,2014/06/30,1.04亿,1.04亿,7955,-0.01,1.27,-0.88,2676万,-15.45,-23.5万,5.90万,-24.8万,-117万,-152.57,1942万,0.19,20.13,1.97亿,5008万,8409万,0,5473万,5337万,136万,27.79,1.33亿,67.33,182万,0.02,0,0,1998/03/03
114,600137,浪莎股份,2014/06/30,9722万,9722万,7452,0.06,4.78,1.18,1.39亿,-7.92,695万,0,765万,545万,-21.70,1501万,0.15,16.05,5.82亿,4.09亿,1.13亿,5038万,1.18亿,1.14亿,327万,20.22,4.65亿,79.78,3.42亿,3.52,0,0,1998/04/16
115,600138,中青旅,2014/06/30,4.83亿,4.15亿,1.40万,0.45,9.09,5.96,49.0亿,18.29,3.09亿,156万,3.46亿,1.92亿,54.29,17.5亿,3.63,18.66,89.6亿,41.6亿,23.4亿,6.53亿,32.8亿,30.9亿,1.92亿,36.62,43.9亿,48.92,20.5亿,2.51,0,0,1997/12/03
116,600139,西部资源,2014/06/30,6.62亿,6.30亿,1.88万,0.01,1.95,0.30,1.55亿,-29.89,-175万,1296万,1141万,390万,-80.40,1.41亿,0.21,42.80,24.8亿,9.90亿,2.31亿,9.92亿,10.5亿,3.98亿,6.49亿,42.17,12.9亿,51.99,3.80亿,0.57,0,0,1998/02/25
117,600141,兴发集团,2014/06/30,5.31亿,4.07亿,1.02万,0.07,8.63,1.05,56.7亿,0.12,5031万,7597万,6937万,3539万,-56.24,8.60亿,1.62,9.86,160亿,35.9亿,75.1亿,14.6亿,118亿,75.5亿,42.1亿,73.50,33.7亿,21.05,18.8亿,4.29,0,0,1999/06/16
118,600143,金发科技,2014/06/30,25.6亿,25.6亿,2.61万,0.12,3.05,3.98,74.9亿,12.08,3.08亿,782万,3.77亿,3.15亿,-24.53,20.6亿,0.80,14.25,135亿,92.3亿,25.8亿,9.09亿,54.8亿,47.3亿,7.52亿,40.56,78.0亿,57.75,28.1亿,1.19,0,0,2004/06/23
119,600145,*ST国创,2014/06/30,3.78亿,3.78亿,1.67万,0.00,0.28,-1.34,1796万,43.80,-153万,0,-149万,-140万,-133.83,-3.78亿,-1.00,7.71,1.56亿,3114万,1847万,888万,5151万,5151万,0,33.10,1.06亿,68.24,6744万,0.18,0,0,1999/09/23
120,600146,大元股份,2014/06/30,2.00亿,2.00亿,8811,-0.07,0.64,-9.89,1571万,-20.27,-1777万,-88.0万,-1786万,-1330万,0.00,-2.05亿,-1.02,4.35,3.16亿,8361万,6024万,1.05亿,1.13亿,1.13亿,0,35.67,1.28亿,40.46,1.28亿,0.64,0,0,1999/07/07
121,600148,长春一东,2014/06/30,1.42亿,1.42亿,1.04万,0.13,2.47,5.47,3.49亿,5.47,3018万,0,3132万,1883万,80.57,9131万,0.65,30.56,9.23亿,7.17亿,1.76亿,1181万,5.21亿,5.04亿,1670万,56.47,3.50亿,37.92,8912万,0.63,0,0,1998/05/20
122,600149,廊坊发展,2014/06/30,3.80亿,3.30亿,7432,0.00,0.70,0.37,1967万,-37.56,-318万,59.9万,97.8万,97.8万,0.00,-2.65亿,-0.70,12.76,2.97亿,9060万,5792万,0,2821万,2821万,0,9.50,2.68亿,90.13,1.06亿,0.28,0,0,1999/10/14
123,600150,中国船舶,2014/06/30,13.8亿,13.8亿,1.42万,0.09,12.67,0.69,138亿,77.26,9881万,-330万,9989万,1.20亿,114.75,110亿,8.00,8.21,537亿,335亿,146亿,21.5亿,339亿,220亿,119亿,63.07,175亿,32.48,44.8亿,3.23,0,0,1998/05/20
124,600151,航天机电,2014/06/30,12.5亿,12.0亿,8967,0.03,3.01,0.90,15.1亿,24.83,3137万,7379万,4272万,3394万,-80.09,-5.57亿,-0.45,12.49,82.3亿,41.4亿,26.3亿,2.17亿,44.4亿,24.0亿,20.4亿,53.92,37.7亿,45.75,28.6亿,2.29,0,0,1998/06/05
125,600152,维科精华,2014/06/30,2.93亿,2.93亿,7735,-0.22,2.48,-8.22,6.49亿,-36.07,-7373万,2962万,-7307万,-6316万,0.00,1.54亿,0.52,6.37,21.1亿,7.95亿,6.02亿,1.10亿,13.1亿,11.7亿,1.44亿,62.12,7.28亿,34.50,1.56亿,0.53,0,0,1998/06/09
126,600153,建发股份,2014/06/30,28.4亿,28.4亿,3.47万,0.41,5.70,7.28,532亿,8.48,17.3亿,9909万,17.5亿,10.0亿,-5.34,98.4亿,3.47,6.32,980亿,891亿,7.44亿,3.47亿,776亿,576亿,201亿,79.21,162亿,16.50,27.4亿,0.12,0,0,1998/06/16
127,600155,宝硕股份,2014/06/30,4.13亿,4.13亿,9513,-0.08,0.11,-54.48,1.77亿,1080.51,-5942万,5.60万,-3618万,-3437万,0.00,-6.21亿,-1.50,1.51,17.4亿,15.7亿,1.06亿,2890万,16.7亿,16.7亿,38.5万,96.03,4590万,2.64,2.38亿,0.58,0,0,1998/09/18
128,600156,华升股份,2014/06/30,4.02亿,4.02亿,1.15万,-0.03,1.73,-1.44,4.54亿,11.50,-1489万,40.3万,-1169万,-1009万,0.00,1.40亿,0.35,6.70,11.3亿,6.78亿,1.66亿,1.67亿,3.70亿,3.30亿,4046万,32.77,6.95亿,61.54,1.34亿,0.23,0,0,1998/05/27
129,600157,永泰能源,2014/06/30,35.4亿,30.1亿,3.34万,0.10,2.84,3.65,39.9亿,-8.91,2.89亿,8454万,5.09亿,3.65亿,13.45,13.8亿,0.39,38.66,484亿,105亿,61.2亿,287亿,347亿,220亿,128亿,71.78,100亿,20.73,47.2亿,3.02,0,0,1998/05/13
130,600158,中体产业,2014/06/30,8.44亿,6.57亿,5562,0.07,1.74,3.96,3.96亿,0.06,6889万,6454万,6888万,5780万,56.39,4.91亿,0.58,20.21,36.3亿,31.3亿,1.38亿,3557万,18.8亿,14.5亿,4.23亿,51.72,14.6亿,40.37,4087万,0.01,0,0,1998/03/27
131,600159,大龙地产,2014/06/30,8.30亿,8.30亿,1.24万,-0.01,2.40,-0.31,2.01亿,71.19,-500万,975万,-482万,-610万,-296.96,7.90亿,0.95,8.79,32.2亿,30.2亿,5518万,0,12.2亿,11.4亿,8018万,38.04,19.9亿,61.90,3.46亿,0.42,0,0,1998/05/26
132,600160,巨化股份,2014/06/30,18.1亿,17.9亿,2.10万,0.04,3.96,0.90,46.7亿,-5.23,6848万,4028万,8191万,6708万,-43.36,24.1亿,1.33,7.51,93.7亿,35.6亿,38.4亿,5.38亿,21.9亿,20.7亿,1.14亿,23.33,71.6亿,76.47,24.6亿,1.36,0,0,1998/06/26
133,600161,天坛生物,2014/06/30,5.15亿,5.15亿,1.07万,0.44,4.18,11.22,10.8亿,20.19,3.33亿,174万,3.36亿,2.29亿,2.28,13.3亿,2.59,56.88,68.0亿,29.3亿,9.29亿,2.00亿,44.1亿,27.2亿,16.9亿,64.83,21.6亿,31.70,1.64亿,0.32,0,0,1998/06/16
134,600162,香江控股,2014/06/30,7.68亿,7.68亿,1.34万,0.18,2.20,8.45,13.0亿,-10.79,2.04亿,-72.3万,2.10亿,1.40亿,4.38,7.97亿,1.04,32.96,138亿,116亿,5.62亿,1.15亿,115亿,95.3亿,19.7亿,83.60,16.9亿,12.30,2195万,0.03,0,0,1998/06/09
135,600163,福建南纸,2014/06/30,7.21亿,7.21亿,1.99万,-0.30,0.62,-38.79,5.76亿,-19.42,-2.08亿,90.0万,-2.14亿,-2.14亿,0.00,-15.2亿,-2.11,-3.68,24.5亿,7.94亿,13.9亿,1.64亿,20.0亿,14.9亿,5.04亿,81.58,4.46亿,18.22,11.8亿,1.63,0,0,1998/06/02
136,600165,新日恒力,2014/06/30,2.74亿,1.94亿,7991,0.06,3.85,1.56,7.32亿,-27.20,1642万,8674万,1904万,1628万,189.63,4885万,0.18,6.68,25.2亿,16.3亿,6.94亿,7193万,14.2亿,13.1亿,1.09亿,56.26,10.5亿,41.78,6.91亿,2.53,0,0,1998/05/29
137,600166,福田汽车,2014/06/30,28.1亿,25.4亿,2.25万,0.10,5.35,1.90,188亿,4.71,1234万,1.03亿,3.49亿,2.88亿,-29.31,31.2亿,1.01,13.00,355亿,140亿,88.4亿,36.5亿,199亿,180亿,19.8亿,56.20,153亿,43.09,78.0亿,2.77,0,0,1998/06/02
138,600167,联美控股,2014/06/30,2.11亿,2.11亿,1.44万,0.55,4.46,12.45,3.38亿,19.47,1.52亿,0,1.53亿,1.15亿,39.54,5.21亿,2.27,48.09,25.4亿,11.1亿,8.55亿,4132万,15.6亿,15.6亿,0,61.27,9.84亿,38.66,2.47亿,1.17,0,0,1999/01/28
139,600168,武汉控股,2014/06/30,7.10亿,4.41亿,1.18万,0.28,5.66,5.05,5.65亿,307.02,1.52亿,74.6万,2.42亿,1.99亿,525.16,16.1亿,2.27,41.01,68.8亿,10.6亿,47.1亿,4.08亿,27.0亿,11.9亿,15.2亿,39.31,40.2亿,58.36,15.3亿,2.15,0,0,1998/04/27
140,600169,太原重工,2014/06/30,24.2亿,24.2亿,1.86万,0.00,2.23,0.21,37.2亿,-0.39,-3395万,0,180万,1137万,0.00,14.9亿,0.61,16.98,255亿,187亿,47.5亿,5.18亿,201亿,159亿,42.4亿,78.76,54.2亿,21.23,12.3亿,0.51,0,0,1998/09/04
141,600170,上海建工,2014/06/30,36.1亿,11.0亿,1.05万,0.24,3.67,6.32,551亿,19.20,11.3亿,-1190万,12.0亿,8.55亿,9.27,62.0亿,1.72,5.89,966亿,709亿,53.6亿,30.0亿,822亿,656亿,166亿,85.07,132亿,13.69,28.0亿,1.32,0,0,1998/06/23
142,600171,上海贝岭,2014/06/30,6.74亿,6.74亿,9973,0.02,2.62,0.73,2.19亿,-21.72,-1990万,328万,1348万,1224万,-31.07,1.55亿,0.23,20.42,21.0亿,8.54亿,1.03亿,5982万,3.06亿,2.39亿,6677万,14.58,17.6亿,84.17,8.03亿,1.19,0,0,1998/09/24
143,600172,黄河旋风,2014/06/30,5.33亿,4.97亿,9725,0.21,4.31,5.01,8.08亿,2.94,1.28亿,649万,1.29亿,1.14亿,15.48,8.67亿,1.63,33.46,47.5亿,16.2亿,22.1亿,1.04亿,24.5亿,16.3亿,8.21亿,51.57,23.0亿,48.43,7.51亿,1.41,0,0,1998/11/26
144,600173,卧龙地产,2014/06/30,7.25亿,7.25亿,1.50万,0.08,2.08,4.10,5.54亿,20.82,8615万,142万,8783万,6120万,6.56,5.80亿,0.80,24.85,39.7亿,37.0亿,1448万,32.6万,23.7亿,10.7亿,13.0亿,59.72,15.1亿,37.94,7990万,0.11,0,0,1999/04/15
145,600175,美都控股,2014/06/30,24.6亿,14.4亿,2.37万,0.04,1.84,4.29,22.3亿,6.38,1.54亿,4535万,1.52亿,9551万,8.27,4.28亿,0.17,20.37,124亿,65.7亿,2.01亿,1330万,98.0亿,55.7亿,42.3亿,79.29,22.5亿,18.23,2.54亿,0.18,0,0,1999/04/08
146,600176,中国玻纤,2014/06/30,8.73亿,8.73亿,2.27万,0.15,4.27,3.50,28.3亿,10.00,1.88亿,-253万,1.98亿,1.31亿,61.20,15.3亿,1.76,32.93,195亿,60.8亿,111亿,4.14亿,157亿,108亿,49.0亿,80.45,37.2亿,19.13,12.4亿,1.42,0,0,1999/04/22
147,600177,雅戈尔,2014/06/30,22.3亿,22.3亿,1.31万,0.82,6.29,13.18,75.8亿,-5.16,22.7亿,13.8亿,23.1亿,18.3亿,90.52,96.4亿,4.33,33.13,469亿,283亿,42.4亿,3.64亿,326亿,298亿,27.6亿,69.45,140亿,29.85,9.06亿,0.46,0,0,1998/11/19
148,600178,*ST东安,2014/06/30,4.62亿,4.62亿,1.07万,-0.03,3.63,-0.95,3.95亿,-22.69,-1623万,5021万,-1603万,-1603万,0.00,1.13亿,0.24,6.10,29.9亿,11.6亿,3.18亿,0,13.2亿,9.96亿,3.21亿,44.02,16.8亿,55.98,8.58亿,1.86,0,0,1998/10/14
149,600179,黑化股份,2014/06/30,3.90亿,3.90亿,1.08万,-0.50,0.30,-90.03,4.76亿,-33.71,-1.91亿,0,-1.94亿,-1.94亿,-4705.29,-6.54亿,-1.68,-25.09,22.7亿,14.4亿,7.92亿,0,21.5亿,19.9亿,1.52亿,94.75,1.18亿,5.23,3.26亿,0.84,0,0,1998/11/04
150,600180,瑞茂通,2014/06/30,8.78亿,2.58亿,1.17万,0.15,2.20,7.32,32.5亿,37.03,1.61亿,8982万,1.66亿,1.33亿,37.12,9.31亿,1.06,13.03,63.7亿,53.8亿,1511万,1.51亿,44.4亿,44.2亿,2030万,69.70,19.3亿,30.30,7237万,0.01,0,0,1998/07/03
151,600182,S佳通,2014/06/30,3.40亿,1.70亿,5845,0.30,3.01,9.88,18.5亿,-15.99,2.70亿,0,2.78亿,1.04亿,-13.45,6.46亿,1.90,20.79,34.6亿,22.2亿,11.3亿,2362万,13.9亿,11.9亿,2.02亿,40.10,10.2亿,29.50,120万,0.00,0,0,1999/05/07
152,600183,生益科技,2014/06/30,14.2亿,14.2亿,1.67万,0.20,2.91,6.57,36.1亿,18.48,3.22亿,444万,3.28亿,2.81亿,42.25,11.9亿,0.84,17.40,81.7亿,49.8亿,19.9亿,2.21亿,39.1亿,34.4亿,4.71亿,47.88,41.4亿,50.70,10.6亿,0.73,0,0,1998/10/28
153,600184,光电股份,2014/06/30,2.09亿,1.18亿,1.13万,0.07,4.49,1.49,7.13亿,64.69,1455万,169万,1542万,1385万,-68.97,2.39亿,1.14,14.70,24.2亿,16.5亿,4.70亿,5376万,14.7亿,13.1亿,1.63亿,60.63,9.39亿,38.76,4.43亿,2.12,0,0,2003/11/06
154,600185,格力地产,2014/06/30,5.78亿,5.78亿,2.38万,0.23,5.02,4.43,8.69亿,-9.97,1.64亿,5168万,1.64亿,1.34亿,-28.65,17.8亿,3.08,21.47,157亿,140亿,8709万,15.3万,128亿,73.5亿,54.3亿,81.30,29.0亿,18.46,3.77亿,0.52,0,0,1999/06/11
155,600186,莲花味精,2014/06/30,10.6亿,10.6亿,9250,-0.06,0.49,-11.21,9.42亿,-17.35,-1.19亿,-577万,-5835万,-6198万,0.00,-9.43亿,-0.89,4.09,26.0亿,12.7亿,5.54亿,5.54亿,21.1亿,20.8亿,2812万,80.97,5.22亿,20.04,3.19亿,0.30,0,0,1998/08/25
156,600187,国中水务,2014/06/30,14.6亿,14.6亿,2.25万,0.04,1.76,2.03,2.65亿,59.03,4704万,250万,6369万,5141万,79.16,-2.61亿,-0.18,48.66,37.2亿,13.1亿,3.65亿,9.92亿,10.1亿,4.84亿,5.22亿,27.01,25.6亿,68.87,13.4亿,0.92,0,0,1998/11/11
157,600188,兖州煤业,2014/06/30,49.2亿,29.6亿,5.01万,0.17,8.37,2.04,324亿,23.83,2.91亿,-8927万,6.70亿,8.36亿,0.00,277亿,5.64,16.31,1367亿,395亿,240亿,245亿,900亿,286亿,614亿,65.81,412亿,30.11,12.9亿,0.62,0,19.6亿,1998/07/01
158,600189,吉林森工,2014/06/30,3.11亿,3.11亿,1.01万,0.01,4.20,0.18,6.52亿,5.43,-340万,3826万,567万,242万,-77.63,1.74亿,0.56,18.08,38.9亿,20.6亿,11.4亿,6675万,24.9亿,17.2亿,7.66亿,63.98,13.0亿,33.57,6.46亿,2.07,0,0,1998/10/07
159,600190,锦州港,2014/06/30,20.0亿,13.4亿,1.70万,0.07,2.86,2.30,12.2亿,61.49,1.82亿,-618万,1.86亿,1.31亿,66.09,7.54亿,0.38,27.01,117亿,11.3亿,78.1亿,3.06亿,59.4亿,31.8亿,27.6亿,50.72,57.2亿,48.87,26.6亿,1.33,2.23亿,0,1999/06/09
160,600191,华资实业,2014/06/30,4.85亿,4.85亿,1.56万,0.06,3.45,1.63,1.13亿,86.56,1646万,7453万,2728万,2719万,7.81,2.46亿,0.51,-7.09,23.3亿,5.16亿,1.23亿,1212万,6.45亿,1.84亿,4.62亿,27.74,16.7亿,71.99,8.47亿,1.75,0,0,1998/12/10
161,600192,长城电工,2014/06/30,4.42亿,4.42亿,8529,0.13,4.15,3.21,11.4亿,8.10,4687万,-13.9万,6997万,5815万,32.38,4.43亿,1.00,23.94,38.1亿,26.4亿,5.00亿,1.91亿,19.1亿,15.3亿,3.81亿,50.23,18.3亿,48.13,9.02亿,2.04,0,0,1998/12/24
