Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN,DB,DS,DN
Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
515,300054,鼎龙股份,13.88,0.51,0.102,0.114,6.24,-0.267,-0.019,0.016,-0.078,1,3,6,2.12,1.71,0.41,22.83,18.51,4.33
516,2670,华声股份,11.68,0.34,0.102,-0.124,2.67,-0.401,-0.048,-1.227,-2.725,2,3,4,0,0,0,11.04,7.93,3.11
517,2445,中南重工,17.26,1.83,0.102,0.055,8.42,-0.216,-0.32,-0.343,-0.236,2,3,5,14.89,12.39,2.5,37.48,34.35,3.13
518,2243,通产丽星,7.7,1.85,0.102,0.344,7.3,-0.118,0.514,-0.298,-1.494,1,3,4,3.38,4.07,-0.68,19.85,15.17,4.67
519,2147,方圆支承,9.04,3.43,0.102,0.26,5.23,0.193,0.139,-0.233,-0.709,1,2,4,1.84,0,1.84,18.22,16.78,1.44
520,759,中百集团,8.78,3.05,0.102,0.104,21,0.057,0.015,-0.139,-0.813,1,3,3,10.36,0,10.36,22.42,17.39,5.03
521,600995,文山电力,7.4,1.23,0.101,0.072,5.94,0.617,0.389,1.26,-0.131,12,5,10,2.5,1.46,1.04,24.97,21.13,3.84
522,600292,中电远达,22.89,2.65,0.101,0.156,8.34,-0.295,-0.027,-0.367,-0.087,1,1,2,7.53,7.71,-0.18,38.1,34.1,4
523,2680,黄海机械,25.4,0,0.1,-0.257,1.1,0.681,0.806,-0.338,-1.506,4,4,5,4.11,0,4.11,11.4,13.52,-2.12
524,2476,宝莫股份,9.53,-0.73,0.1,-1.184,-8.73,-0.358,-1.799,-0.706,-2.494,1,2,4,5.91,3.09,2.82,24.22,24.83,-0.61
525,2039,黔源电力,11.09,2.4,0.1,0.171,10.82,-0.281,-0.381,-0.068,-0.128,2,3,6,4.35,0,4.35,30.56,29,1.55
526,550,江铃汽车,31.99,3.19,0.1,0.116,17.86,-0.016,-0.048,-0.183,-0.369,2,3,3,4.57,0,4.57,25.52,17.16,8.36
527,2046,轴研科技,9.06,0.22,0.098,-0.05,2.34,0.445,0.872,-0.56,-0.631,2,4,4,0,0,0,24.37,21.52,2.84
528,600708,海博股份,8.38,1.82,0.097,0.329,5.29,0.086,0.701,-0.444,-0.032,1,2,4,4.67,1.01,3.66,23.01,24.25,-1.24
529,601179,中国西电,4.06,1.5,0.096,0.01,13.07,0.061,-0.188,-0.253,-0.547,1,3,3,15.96,1.44,14.52,23.25,25.3,-2.05
530,601002,晋亿实业,10.24,1.09,0.096,0.113,4.79,0.088,0.371,-0.506,-0.529,1,2,3,6.87,2.36,4.51,26.13,27.51,-1.38
531,600261,阳光照明,10.75,1.51,0.096,0.091,5.67,-0.534,-0.514,-1.131,-1.239,1,2,3,9.93,6,3.93,28.76,29.07,-0.31
532,601101,昊华能源,6.39,0.31,0.095,0.078,11,0.168,0.262,0.03,0.139,4,4,5,0.39,2.09,-1.69,32.1,22.15,9.95
533,600311,荣华实业,5.6,0.36,0.095,-0.077,2.84,0.301,0.353,-0.205,-0.236,1,3,3,6.98,2.01,4.98,23.37,24.14,-0.78
534,978,桂林旅游,7.46,0.4,0.095,0.063,7.35,0.127,1.946,-0.143,1.043,3,4,5,12.19,7.32,4.87,20.04,18.98,1.05
535,600249,两面针,6.16,0.49,0.094,0.134,7.84,-0.017,0.088,0.437,0.131,2,4,7,16.9,11.41,5.48,29.09,30.75,-1.67
536,300316,晶盛机电,24.43,0.12,0.094,0.044,9.59,-0.078,-0.221,-0.164,-0.744,1,2,5,4.71,0,4.71,33.48,30.45,3.03
537,2615,哈尔斯,25.16,2.44,0.094,0.789,6.25,-0.774,0.234,-1.747,-3.179,1,1,3,2.25,7.32,-5.07,32.04,25.75,6.29
538,625,长安汽车,13.45,1.82,0.094,0.083,13.47,-0.062,-0.067,-0.542,-0.776,1,3,4,25.4,16.69,8.71,31.57,33.71,-2.14
539,600684,珠江实业,5.23,0.19,0.093,0.004,2.95,-0.098,0.206,-0.567,-0.341,2,3,5,15.06,19.86,-4.8,36.12,28.5,7.62
540,600031,三一重工,5.75,2.13,0.093,0.096,14.2,0.063,0.144,-0.011,0.043,1,2,4,18.55,6.46,12.08,24.14,27.54,-3.41
541,2401,中海科技,16.28,1.94,0.093,0.174,7.66,0.078,0.317,-0.884,-1.192,1,3,4,1.26,1.9,-0.63,28.53,23.37,5.16
