O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
319,000514,渝 开 发,5.04,1.41,992万,75,878万,-374万,503万,5.88,2038万,-1549万,489万,5.71,3514万,-3565万,-50万,-0.59,2054万,-2995万,-941万,-10.99
320,002353,杰瑞股份,41.26,1.55,991万,599,3830万,-3909万,-79万,-0.17,1.67亿,-1.57亿,1071万,2.35,1.63亿,-1.73亿,-1006万,-2.20,8148万,-8134万,15万,0.03
321,600261,阳光照明,10.75,1.51,984万,121,2701万,-1633万,1069万,3.93,7826万,-7910万,-84万,-0.31,9610万,-1.01亿,-499万,-1.83,6957万,-7442万,-486万,-1.79
322,002360,同德化工,7.87,3.15,982万,101,883万,-362万,521万,4.90,2742万,-2281万,460万,4.32,3849万,-3814万,35万,0.33,3070万,-4086万,-1017万,-9.55
323,601008,连云港,4.70,2.62,980万,106,1360万,-1099万,261万,0.98,6002万,-5283万,719万,2.71,1.03亿,-1.09亿,-612万,-2.31,8722万,-9090万,-368万,-1.39
324,600267,海正药业,16.29,1.43,979万,33,1528万,-1717万,-188万,-0.72,1.02亿,-9049万,1168万,4.44,9452万,-1.02亿,-748万,-2.85,5071万,-5303万,-231万,-0.88
325,002264,新 华 都,8.00,3.23,979万,436,2299万,-1302万,997万,4.09,7071万,-7089万,-18万,-0.07,8548万,-9192万,-644万,-2.64,6035万,-6370万,-335万,-1.37
326,600963,岳阳林纸,4.95,4.65,966万,174,1173万,-820万,353万,2.45,3886万,-3273万,613万,4.25,5309万,-5753万,-444万,-3.08,3876万,-4398万,-522万,-3.62
327,600870,厦华电子,9.99,2.57,962万,33,3343万,-1046万,2297万,12.05,4754万,-6089万,-1335万,-7.00,6892万,-8035万,-1144万,-6.00,4051万,-3870万,182万,0.95
328,000498,山东路桥,4.37,1.63,961万,70,669万,-13万,656万,9.16,1805万,-1500万,305万,4.26,2760万,-3051万,-291万,-4.06,1858万,-2528万,-670万,-9.36
