O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
133,600078,澄星股份,6.73,1.05,2264万,24,3281万,-1080万,2201万,11.53,6779万,-6716万,63万,0.33,5705万,-6650万,-944万,-4.95,3292万,-4612万,-1320万,-6.92
134,002604,龙力生物,14.45,2.70,2261万,184,2761万,-1072万,1689万,8.10,5870万,-5297万,573万,2.75,7608万,-8632万,-1025万,-4.92,4405万,-5642万,-1237万,-5.94
135,603123,翠微股份,10.28,1.48,2248万,9,2552万,-191万,2361万,14.11,2392万,-2504万,-112万,-0.67,6489万,-8668万,-2179万,-13.03,5286万,-5355万,-69万,-0.41
136,601699,潞安环能,9.11,1.00,2241万,124,2608万,-1638万,970万,3.17,1.06亿,-9376万,1272万,4.15,1.06亿,-1.24亿,-1816万,-5.93,6645万,-7070万,-425万,-1.39
137,600287,江苏舜天,7.69,10.01,2237万,2387,2518万,-456万,2062万,33.03,979万,-804万,175万,2.81,253万,-1268万,-1015万,-16.27,106万,-1328万,-1222万,-19.57
138,002006,*ST精功,8.33,4.52,2218万,78,1331万,-1万,1330万,11.80,3117万,-2229万,888万,7.88,4261万,-5328万,-1067万,-9.47,2479万,-3631万,-1152万,-10.22
139,601106,中国一重,2.27,3.18,2211万,33,3065万,-1134万,1931万,10.86,4842万,-4561万,280万,1.58,5520万,-6260万,-740万,-4.16,4321万,-5792万,-1472万,-8.28
140,000021,长城开发,6.72,1.66,2209万,394,1141万,-1385万,-243万,-1.26,8126万,-5674万,2453万,12.70,6462万,-7046万,-584万,-3.03,3187万,-4812万,-1625万,-8.41
141,600114,东睦股份,12.91,3.86,2200万,5,1040万,-146万,893万,5.89,4663万,-3356万,1307万,8.62,5738万,-5845万,-107万,-0.70,3713万,-5806万,-2093万,-13.81
142,002154,报 喜 鸟,8.09,4.93,2197万,175,1693万,-2695万,-1002万,-4.06,1.18亿,-8594万,3199万,12.96,7672万,-8580万,-908万,-3.68,3349万,-4638万,-1289万,-5.22
143,300126,锐奇股份,10.89,0.93,2191万,358,1095万,-999万,96万,0.57,6834万,-4739万,2095万,12.44,5645万,-7141万,-1496万,-8.89,2903万,-3598万,-695万,-4.13
144,000554,泰山石油,8.79,0.69,2153万,353,1865万,-325万,1540万,7.66,5076万,-4463万,612万,3.04,7451万,-8138万,-686万,-3.41,5376万,-6842万,-1466万,-7.29
145,600080,金花股份,13.33,6.22,2135万,26,8165万,-5537万,2628万,10.30,7608万,-8101万,-494万,-1.94,6724万,-7392万,-668万,-2.62,2984万,-4451万,-1467万,-5.75
146,601117,中国化学,6.06,1.68,2124万,61,5691万,-4315万,1377万,3.52,1.32亿,-1.24亿,747万,1.91,1.19亿,-1.37亿,-1763万,-4.50,8333万,-8693万,-360万,-0.92
147,002510,天汽模,10.41,1.26,2107万,216,908万,-31万,877万,5.80,3545万,-2316万,1230万,8.14,6027万,-6654万,-626万,-4.14,4415万,-5896万,-1480万,-9.80
148,002155,辰州矿业,8.87,1.72,2105万,316,1095万,-236万,859万,4.18,5574万,-4329万,1245万,6.06,8081万,-8993万,-913万,-4.44,5490万,-6681万,-1192万,-5.80
149,300086,康芝药业,16.02,2.43,2099万,333,2157万,-1011万,1146万,7.08,6704万,-5751万,953万,5.89,4898万,-6145万,-1246万,-7.70,2091万,-2944万,-853万,-5.27
150,300182,捷成股份,20.95,5.28,2076万,276,3110万,-1614万,1495万,6.43,7204万,-6624万,581万,2.50,9068万,-9694万,-627万,-2.70,3585万,-5035万,-1450万,-6.24
151,000685,中山公用,12.85,7.08,2062万,197,3373万,-2386万,987万,4.72,6948万,-5872万,1075万,5.15,6908万,-7756万,-848万,-4.06,3470万,-4685万,-1215万,-5.81
152,002227,奥 特 迅,24.90,1.59,2058万,216,2632万,-1573万,1059万,6.22,4729万,-3730万,1000万,5.88,5245万,-6826万,-1581万,-9.29,4189万,-4667万,-478万,-2.81
153,600460,士兰微,6.36,1.60,2035万,239,3586万,-1488万,2098万,7.71,7801万,-7865万,-63万,-0.23,8736万,-9557万,-821万,-3.02,6850万,-8064万,-1214万,-4.46
154,002114,罗平锌电,19.44,4.97,2021万,726,3002万,-1293万,1708万,3.79,9856万,-9543万,312万,0.69,1.76亿,-1.82亿,-618万,-1.37,1.38亿,-1.52亿,-1403万,-3.11
155,600429,三元股份,9.13,1.33,1997万,28,495万,-123万,372万,3.86,3865万,-2241万,1624万,16.83,3483万,-4161万,-678万,-7.02,1782万,-3101万,-1319万,-13.66
156,000958,东方热电,14.20,7.98,1981万,459,2265万,-1175万,1090万,4.79,6657万,-5766万,891万,3.92,7529万,-8386万,-856万,-3.77,5805万,-6930万,-1125万,-4.95
157,002556,辉隆股份,11.27,0.99,1971万,438,2807万,-1824万,982万,3.10,1.10亿,-9968万,989万,3.13,1.13亿,-1.16亿,-330万,-1.04,6163万,-7805万,-1641万,-5.19
158,600123,兰花科创,8.57,1.42,1967万,37,2816万,-618万,2198万,9.82,7056万,-7288万,-232万,-1.03,7130万,-8942万,-1812万,-8.10,5341万,-5495万,-154万,-0.69
159,002305,南国置业,6.78,3.51,1965万,235,110万,-27万,83万,0.84,3930万,-2048万,1882万,19.12,3599万,-3361万,238万,2.42,1967万,-4171万,-2203万,-22.38
160,002204,大连重工,12.34,5.56,1964万,1006,5515万,-4769万,746万,0.86,2.02亿,-1.90亿,1219万,1.40,3.28亿,-3.27亿,50万,0.06,2.74亿,-2.94亿,-2015万,-2.32
161,600280,中央商场,12.25,3.46,1962万,15,633万,-5万,627万,4.90,4193万,-2859万,1335万,10.42,4568万,-5084万,-516万,-4.03,3400万,-4845万,-1446万,-11.29
162,002565,上海绿新,9.21,3.14,1956万,664,2906万,-1051万,1855万,5.85,7564万,-7463万,100万,0.32,1.18亿,-1.33亿,-1434万,-4.52,8737万,-9259万,-522万,-1.65
163,600806,昆明机床,5.33,4.51,1941万,75,1135万,-581万,553万,3.77,4142万,-2755万,1387万,9.46,6695万,-7414万,-719万,-4.90,2624万,-3846万,-1222万,-8.33
164,600760,中航黑豹,9.77,4.27,1934万,108,1303万,-1556万,-253万,-0.77,9937万,-7750万,2187万,6.65,1.40亿,-1.38亿,226万,0.69,7489万,-9649万,-2160万,-6.57
165,002116,中国海诚,13.12,2.10,1933万,147,491万,-14万,477万,3.81,3796万,-2340万,1456万,11.64,4944万,-5190万,-246万,-1.97,3136万,-4822万,-1687万,-13.48
166,002583,海能达,29.49,3.36,1930万,2054,2904万,-1661万,1243万,3.52,9805万,-9119万,686万,1.94,1.31亿,-1.43亿,-1139万,-3.22,7432万,-8223万,-791万,-2.24
167,000058,深 赛 格,5.65,5.21,1925万,1607,1013万,-508万,504万,2.10,5566万,-4146万,1420万,5.91,8049万,-9046万,-997万,-4.15,7777万,-8705万,-928万,-3.86
168,002081,金 螳 螂,18.81,2.79,1908万,315,2399万,-2181万,218万,0.77,9323万,-7634万,1690万,5.94,1.03亿,-1.17亿,-1382万,-4.86,6065万,-6591万,-526万,-1.85
169,002613,北玻股份,8.99,1.12,1905万,171,1113万,0万,1113万,13.19,1987万,-1194万,793万,9.40,2890万,-3869万,-978万,-11.60,2269万,-3196万,-927万,-10.99
170,600804,鹏博士,15.69,0.51,1902万,63,1.51亿,-1.29亿,2138万,2.59,2.67亿,-2.69亿,-236万,-0.29,2.63亿,-2.73亿,-993万,-1.20,1.43亿,-1.53亿,-910万,-1.10
171,600794,保税科技,10.78,4.97,1889万,7,1672万,-911万,761万,5.54,4978万,-3850万,1128万,8.21,4394万,-5294万,-900万,-6.55,2684万,-3673万,-988万,-7.20
172,002362,汉王科技,20.54,3.01,1878万,228,1808万,-371万,1436万,5.24,7697万,-7255万,442万,1.61,1.06亿,-1.19亿,-1251万,-4.57,7051万,-7678万,-627万,-2.29
173,300272,开能环保,18.43,0.71,1866万,151,482万,-562万,-79万,-0.54,4741万,-2796万,1945万,13.32,5417万,-6038万,-621万,-4.25,3802万,-5046万,-1245万,-8.52
174,000651,格力电器,29.58,-0.27,1860万,501,7154万,-6524万,630万,1.05,2.15亿,-2.03亿,1230万,2.04,2.10亿,-2.07亿,300万,0.50,1.00亿,-1.22亿,-2160万,-3.59
175,002371,七星电子,23.89,3.38,1859万,76,709万,-35万,675万,7.81,3483万,-2298万,1185万,13.72,2819万,-4129万,-1310万,-15.17,1398万,-1948万,-550万,-6.37
176,002666,德联集团,14.37,0.49,1858万,34,1991万,-115万,1876万,17.69,2850万,-2868万,-18万,-0.17,3379万,-5621万,-2242万,-21.15,2347万,-1963万,385万,3.63
177,002479,富春环保,8.81,0.46,1843万,116,1385万,-285万,1101万,9.18,3451万,-2709万,742万,6.19,4379万,-5330万,-951万,-7.94,2654万,-3546万,-892万,-7.44
178,002433,太安堂,12.00,1.69,1810万,252,2278万,-1269万,1010万,4.67,5982万,-5182万,800万,3.71,7470万,-7919万,-449万,-2.08,5458万,-6819万,-1361万,-6.30
179,002226,江南化工,11.88,1.97,1804万,113,941万,-379万,562万,4.57,3781万,-2539万,1242万,10.10,4980万,-5168万,-187万,-1.52,2489万,-4106万,-1617万,-13.14
180,600360,华微电子,5.69,3.83,1801万,122,3355万,-347万,3008万,21.66,1801万,-3008万,-1208万,-8.70,4878万,-5554万,-676万,-4.87,3732万,-4856万,-1124万,-8.10
181,000962,东方钽业,12.09,4.04,1796万,269,3061万,-1734万,1327万,5.02,7057万,-6587万,470万,1.78,9918万,-9478万,440万,1.67,6073万,-8309万,-2236万,-8.47
182,000806,银河投资,6.54,2.83,1795万,385,9487万,-4212万,5275万,24.34,5166万,-8646万,-3480万,-16.05,3928万,-4993万,-1065万,-4.91,2712万,-3442万,-730万,-3.37
183,002646,青青稞酒,17.42,1.57,1766万,278,2306万,-636万,1671万,8.65,5852万,-5757万,95万,0.49,6962万,-7515万,-553万,-2.86,3919万,-5132万,-1213万,-6.28
184,000999,华润三九,20.79,1.71,1725万,349,2987万,-634万,2353万,11.11,7737万,-8365万,-628万,-2.97,5871万,-7647万,-1776万,-8.39,4193万,-4141万,52万,0.24
185,600993,马应龙,18.08,0.56,1711万,22,1780万,-804万,976万,5.90,6050万,-5315万,734万,4.44,5392万,-6734万,-1342万,-8.11,3296万,-3665万,-369万,-2.23
186,600203,福日电子,10.36,1.97,1708万,27,1144万,0万,1144万,12.93,2144万,-1581万,564万,6.37,3214万,-3822万,-608万,-6.87,2321万,-3420万,-1100万,-12.43
187,601179,中国西电,4.06,1.50,1688万,63,2160万,-195万,1965万,14.52,3147万,-3424万,-277万,-2.05,3956万,-5572万,-1615万,-11.94,4206万,-4279万,-73万,-0.54
188,600691,阳煤化工,5.48,2.43,1680万,136,3154万,-1302万,1852万,5.30,8613万,-8784万,-171万,-0.49,1.37亿,-1.42亿,-492万,-1.41,9293万,-1.05亿,-1188万,-3.40
189,000301,东方市场,3.41,1.49,1673万,194,1230万,-114万,1115万,15.75,2085万,-1527万,558万,7.88,1991万,-2556万,-564万,-7.97,1580万,-2688万,-1109万,-15.66
190,000584,友利控股,6.29,3.11,1672万,148,861万,0万,861万,7.37,2776万,-1965万,811万,6.94,4344万,-4507万,-163万,-1.39,3554万,-5063万,-1509万,-12.92
191,600077,宋都股份,4.88,6.09,1668万,16,1788万,-1110万,678万,4.53,5400万,-4410万,990万,6.61,5070万,-5538万,-468万,-3.13,2689万,-3888万,-1200万,-8.02
192,000545,金浦钛业,10.90,2.25,1658万,141,781万,-100万,680万,6.84,3160万,-2183万,977万,9.83,3846万,-4174万,-328万,-3.30,2017万,-3347万,-1330万,-13.37
193,600200,江苏吴中,11.94,0.84,1653万,44,2582万,-1269万,1312万,5.67,6519万,-6178万,341万,1.47,8772万,-9514万,-742万,-3.20,5239万,-6150万,-912万,-3.94
194,600643,爱建股份,10.41,0.77,1643万,132,1924万,-2945万,-1021万,-3.16,1.12亿,-8572万,2664万,8.26,1.23亿,-1.29亿,-619万,-1.92,6652万,-7675万,-1024万,-3.17
195,600398,海澜之家,10.36,3.81,1640万,37,3081万,-1074万,2006万,11.07,5674万,-6040万,-366万,-2.02,5182万,-6266万,-1084万,-5.98,4150万,-4706万,-556万,-3.07
196,000550,江铃汽车,31.99,3.19,1640万,153,579万,0万,579万,4.57,3237万,-2176万,1060万,8.36,5539万,-5892万,-353万,-2.78,3173万,-4460万,-1287万,-10.15
197,600695,大江股份,6.88,5.04,1626万,8,1225万,-404万,821万,8.06,2206万,-1400万,805万,7.91,3595万,-3838万,-244万,-2.39,3144万,-4526万,-1382万,-13.58
198,600838,上海九百,8.70,2.47,1610万,20,6318万,-5420万,898万,3.36,6169万,-5457万,712万,2.66,8795万,-9350万,-555万,-2.08,5448万,-6502万,-1055万,-3.94
199,000528,柳    工,6.56,1.08,1609万,162,1928万,-653万,1275万,7.50,4830万,-4495万,334万,1.97,6214万,-6953万,-739万,-4.35,3865万,-4735万,-870万,-5.12
200,600982,宁波热电,7.65,3.52,1593万,59,2610万,-1411万,1199万,2.66,1.12亿,-1.08亿,394万,0.87,1.69亿,-1.66亿,325万,0.72,1.44亿,-1.63亿,-1918万,-4.25
201,600105,永鼎股份,8.88,3.02,1589万,28,622万,-190万,432万,2.98,3314万,-2157万,1157万,7.98,6098万,-6301万,-203万,-1.40,4439万,-5825万,-1386万,-9.56
202,002577,雷柏科技,27.28,0.59,1588万,286,643万,-13万,631万,5.12,3585万,-2627万,957万,7.77,4863万,-5598万,-735万,-5.96,2948万,-3801万,-853万,-6.92
203,000996,中国中期,17.25,1.11,1578万,728,1062万,-559万,503万,3.78,4293万,-3218万,1075万,8.06,5001万,-5930万,-929万,-6.97,2241万,-2890万,-649万,-4.87
204,000812,陕西金叶,6.83,1.04,1577万,744,2075万,-636万,1439万,7.33,4252万,-4114万,138万,0.70,6818万,-7421万,-603万,-3.07,5648万,-6622万,-974万,-4.96
205,601555,东吴证券,9.32,0.54,1575万,403,9094万,-9066万,27万,0.05,2.38亿,-2.23亿,1548万,2.69,1.49亿,-1.71亿,-2194万,-3.81,9336万,-8717万,619万,1.08
206,000570,苏常柴Ａ,8.84,3.15,1574万,507,2005万,-312万,1693万,10.73,4367万,-4486万,-119万,-0.76,5834万,-6201万,-367万,-2.33,3058万,-4265万,-1207万,-7.65
207,603167,渤海轮渡,11.52,6.27,1552万,1144,7829万,-4991万,2838万,5.68,1.77亿,-1.90亿,-1286万,-2.58,1.40亿,-1.52亿,-1132万,-2.27,9195万,-9616万,-420万,-0.84
208,300070,碧水源,31.98,0.25,1540万,161,3100万,-1288万,1812万,7.94,6367万,-6638万,-272万,-1.19,9140万,-9051万,89万,0.39,3991万,-5621万,-1630万,-7.14
209,600331,宏达股份,5.96,3.29,1540万,14,579万,-326万,253万,1.59,4838万,-3551万,1287万,8.07,5597万,-6478万,-880万,-5.52,4920万,-5579万,-660万,-4.14
210,600511,国药股份,25.61,1.83,1535万,37,1021万,-300万,722万,8.06,2702万,-1889万,813万,9.09,2991万,-2594万,398万,4.44,2199万,-4132万,-1932万,-21.59
211,600680,上海普天,18.98,2.10,1533万,9,380万,-16万,364万,3.16,2544万,-1375万,1169万,10.15,4521万,-5227万,-707万,-6.13,4068万,-4894万,-826万,-7.17
212,000010,深华新,7.86,2.88,1531万,198,2097万,-422万,1675万,12.93,3289万,-3433万,-144万,-1.11,4325万,-4921万,-597万,-4.61,3038万,-3972万,-934万,-7.21
213,601318,中国平安,44.14,0.36,1531万,903,4.98亿,-6.97亿,-1.98亿,-10.35,8.97亿,-6.84亿,2.14亿,11.14,3.91亿,-3.81亿,1018万,0.53,1.21亿,-1.46亿,-2549万,-1.33
214,600467,好当家,5.82,0.69,1503万,28,617万,-225万,392万,4.28,3216万,-2104万,1111万,12.13,3324万,-4374万,-1050万,-11.47,1974万,-2427万,-453万,-4.95
215,000089,深圳机场,4.29,2.39,1502万,59,786万,-112万,673万,11.10,2008万,-1179万,829万,13.67,2037万,-2513万,-476万,-7.85,1175万,-2202万,-1026万,-16.92
216,300045,华力创通,22.34,0.54,1500万,195,552万,-589万,-36万,-0.23,6682万,-5146万,1536万,9.66,5618万,-6806万,-1188万,-7.47,2853万,-3165万,-312万,-1.96
217,600549,厦门钨业,31.23,1.23,1495万,244,2140万,-2534万,-394万,-1.08,1.37亿,-1.18亿,1889万,5.16,1.28亿,-1.34亿,-599万,-1.64,7715万,-8610万,-896万,-2.44
218,000511,烯碳新材,9.43,0.43,1494万,773,3711万,-2802万,908万,1.66,1.46亿,-1.40亿,586万,1.07,2.01亿,-2.09亿,-755万,-1.38,1.54亿,-1.62亿,-740万,-1.35
219,002655,共达电声,11.81,0.94,1492万,388,654万,-707万,-53万,-0.14,8015万,-6470万,1544万,4.20,1.47亿,-1.59亿,-1183万,-3.22,1.30亿,-1.33亿,-309万,-0.84
220,002290,禾盛新材,15.14,10.03,1490万,168,579万,-420万,160万,1.49,3277万,-1947万,1330万,12.45,4100万,-4665万,-565万,-5.29,2561万,-3485万,-924万,-8.65
221,002035,华帝股份,11.79,2.34,1485万,101,578万,-136万,442万,3.91,3094万,-2051万,1043万,9.23,5205万,-5176万,29万,0.26,2317万,-3831万,-1514万,-13.40
222,000751,锌业股份,7.19,1.27,1481万,1001,7624万,-7644万,-20万,-0.03,2.00亿,-1.85亿,1500万,1.96,2.62亿,-2.69亿,-708万,-0.93,2.15亿,-2.23亿,-773万,-1.01
223,600570,恒生电子,34.79,-0.17,1461万,275,9649万,-9771万,-123万,-0.28,1.65亿,-1.49亿,1584万,3.64,1.13亿,-1.28亿,-1460万,-3.36,5691万,-5693万,-2万,-0.00
224,601668,中国建筑,3.31,0.91,1449万,433,1.18亿,-1.09亿,818万,1.73,1.37亿,-1.30亿,631万,1.33,1.37亿,-1.29亿,795万,1.68,7835万,-1.01亿,-2244万,-4.74
225,000039,中集集团,15.88,1.47,1446万,395,3145万,-1323万,1822万,6.95,9456万,-9831万,-376万,-1.43,7693万,-9148万,-1455万,-5.55,5513万,-5504万,9万,0.03
226,000523,广州浪奇,9.41,1.18,1442万,90,110万,0万,110万,1.32,2546万,-1213万,1333万,16.06,3399万,-4223万,-824万,-9.93,2153万,-2771万,-618万,-7.45
227,601788,光大证券,9.33,0.86,1442万,230,5030万,-3889万,1141万,3.36,1.34亿,-1.31亿,301万,0.88,1.08亿,-1.18亿,-962万,-2.83,4522万,-5001万,-479万,-1.41
228,601866,中海集运,3.03,1.34,1438万,100,9454万,-9632万,-179万,-0.42,1.07亿,-9052万,1617万,3.78,1.10亿,-1.27亿,-1669万,-3.91,1.15亿,-1.13亿,231万,0.54
229,600060,海信电器,10.33,0.58,1435万,607,3074万,-1198万,1876万,7.28,7101万,-7542万,-441万,-1.71,8368万,-9713万,-1345万,-5.22,6610万,-6700万,-90万,-0.35
230,601311,骆驼股份,13.65,1.11,1434万,56,2027万,-1813万,214万,1.03,7925万,-6705万,1221万,5.87,7006万,-7822万,-816万,-3.93,3766万,-4384万,-618万,-2.97
231,601688,华泰证券,8.98,1.58,1426万,516,1.59亿,-1.16亿,4358万,5.70,2.63亿,-2.92亿,-2932万,-3.83,2.26亿,-2.24亿,298万,0.39,1.11亿,-1.28亿,-1724万,-2.25
232,002126,银轮股份,14.25,0.28,1426万,307,4027万,-2943万,1084万,5.75,5385万,-5043万,342万,1.82,5558万,-6633万,-1074万,-5.70,3568万,-3920万,-352万,-1.87
233,002274,华昌化工,7.73,-0.90,1421万,314,1363万,-91万,1272万,6.57,2499万,-2351万,148万,0.77,6567万,-9473万,-2906万,-15.01,8614万,-7129万,1485万,7.67
234,300291,华录百纳,35.10,-1.07,1413万,163,899万,-1295万,-396万,-2.51,5315万,-3505万,1810万,11.47,5610万,-7532万,-1922万,-12.18,3783万,-3274万,509万,3.22
235,002579,中京电子,20.14,2.29,1406万,253,1263万,-33万,1230万,8.52,4082万,-3906万,176万,1.22,5590万,-6038万,-448万,-3.10,3249万,-4207万,-958万,-6.63
236,600129,太极集团,13.03,6.54,1395万,47,1356万,-732万,623万,3.15,5859万,-5087万,772万,3.90,7403万,-8079万,-676万,-3.41,5144万,-5863万,-719万,-3.63
237,000157,中联重科,4.82,1.05,1395万,641,9893万,-6847万,3047万,5.74,1.60亿,-1.76亿,-1652万,-3.11,1.55亿,-1.55亿,3万,0.01,1.11亿,-1.25亿,-1398万,-2.63
238,002516,江苏旷达,18.30,-1.08,1393万,259,805万,-511万,294万,2.17,5116万,-4017万,1099万,8.09,4552万,-5407万,-855万,-6.29,2848万,-3386万,-538万,-3.96
239,601001,大同煤业,6.42,1.10,1390万,78,1293万,-774万,519万,2.76,5472万,-4601万,871万,4.62,7395万,-7727万,-332万,-1.76,4602万,-5661万,-1059万,-5.62
240,000959,首钢股份,3.55,7.25,1386万,379,6191万,-2117万,4074万,27.58,2789万,-5477万,-2688万,-18.19,3382万,-3385万,-3万,-0.02,2032万,-3414万,-1383万,-9.36
241,600219,南山铝业,6.73,0.15,1380万,160,2593万,-1659万,934万,3.04,9472万,-9027万,445万,1.45,1.05亿,-1.14亿,-894万,-2.91,7972万,-8458万,-486万,-1.58
242,000062,深圳华强,17.00,1.43,1374万,279,1031万,-813万,218万,1.14,6446万,-5290万,1156万,6.04,7288万,-7458万,-169万,-0.89,4090万,-5295万,-1205万,-6.29
243,600812,华北制药,5.62,2.00,1359万,12,868万,-216万,652万,4.86,4779万,-4072万,707万,5.27,4977万,-5162万,-185万,-1.38,2772万,-3945万,-1174万,-8.75
244,000790,华神集团,10.29,1.18,1355万,220,756万,-222万,534万,5.32,2768万,-1947万,821万,8.18,3815万,-4176万,-361万,-3.60,2483万,-3477万,-994万,-9.89
245,600350,山东高速,3.33,1.52,1348万,8,2096万,-1318万,778万,10.88,2692万,-2122万,570万,7.98,1418万,-1819万,-401万,-5.61,931万,-1878万,-947万,-13.25
246,000809,铁岭新城,15.00,0.13,1333万,186,786万,-117万,669万,8.63,3193万,-2530万,663万,8.56,2137万,-3591万,-1454万,-18.75,1450万,-1329万,121万,1.56
247,600635,大众公用,5.25,0.77,1318万,36,1077万,-151万,925万,7.79,2844万,-2451万,393万,3.31,4478万,-5126万,-648万,-5.46,3448万,-4118万,-670万,-5.64
248,601607,上海医药,13.92,0.07,1314万,101,7320万,-5441万,1879万,4.79,1.23亿,-1.28亿,-565万,-1.44,1.21亿,-1.31亿,-930万,-2.37,7403万,-7786万,-384万,-0.98
249,600069,银鸽投资,5.01,5.47,1293万,20,2359万,-999万,1360万,5.18,5705万,-5772万,-67万,-0.25,1.09亿,-1.06亿,315万,1.20,7252万,-8861万,-1608万,-6.13
250,000150,宜华地产,9.60,-2.24,1292万,335,248万,-220万,29万,0.22,4252万,-2988万,1263万,9.84,4774万,-5444万,-670万,-5.22,3220万,-3841万,-622万,-4.84
251,000983,西山煤电,6.16,0.82,1286万,378,3916万,-2396万,1519万,7.69,4562万,-4796万,-233万,-1.18,5674万,-6927万,-1253万,-6.34,5226万,-5259万,-33万,-0.17
252,000056,深国商,15.25,1.60,1284万,194,2250万,-552万,1698万,11.79,3618万,-4032万,-414万,-2.88,5157万,-6341万,-1184万,-8.22,3181万,-3281万,-100万,-0.69
253,600422,昆明制药,25.76,0.43,1281万,25,4398万,-3003万,1395万,9.10,5101万,-5216万,-114万,-0.75,3818万,-4846万,-1028万,-6.70,1990万,-2243万,-253万,-1.65
254,002207,准油股份,16.00,3.03,1281万,234,1319万,-374万,945万,7.12,3990万,-3654万,336万,2.53,4693万,-5069万,-376万,-2.83,3019万,-3924万,-905万,-6.82
255,300245,天玑科技,28.72,0.81,1275万,62,891万,-443万,448万,3.77,3571万,-2744万,827万,6.96,3970万,-4917万,-947万,-7.97,3376万,-3705万,-328万,-2.76
256,002521,齐峰新材,10.32,1.18,1275万,240,634万,-487万,147万,1.19,4142万,-3015万,1127万,9.14,4589万,-4954万,-365万,-2.96,2721万,-3630万,-910万,-7.38
257,002298,鑫龙电器,8.05,1.13,1274万,129,1135万,-157万,978万,8.20,2817万,-2521万,296万,2.48,5035万,-5602万,-567万,-4.76,2812万,-3518万,-707万,-5.93
258,600639,浦东金桥,11.78,1.99,1273万,31,479万,-387万,92万,0.56,4045万,-2863万,1182万,7.25,6272万,-6959万,-687万,-4.21,5478万,-6064万,-586万,-3.60
259,600425,青松建化,5.44,0.55,1271万,28,1247万,-380万,867万,7.40,4060万,-3656万,404万,3.45,4218万,-4547万,-330万,-2.81,2161万,-3102万,-941万,-8.03
260,000828,东莞控股,5.78,10.10,1270万,165,5998万,-4570万,1428万,6.85,6263万,-6421万,-158万,-0.76,5376万,-5965万,-589万,-2.83,3041万,-3722万,-680万,-3.26
261,002037,久联发展,15.57,4.36,1264万,372,1162万,-1257万,-95万,-0.43,7650万,-6291万,1359万,6.19,8840万,-8545万,295万,1.35,3921万,-5480万,-1560万,-7.10
262,000837,秦川发展,9.03,3.08,1254万,754,919万,-146万,773万,6.96,2643万,-2162万,481万,4.33,4202万,-4487万,-284万,-2.56,2589万,-3559万,-969万,-8.72
263,002245,澳洋顺昌,10.96,0.83,1253万,221,763万,-514万,249万,1.28,6480万,-5476万,1004万,5.18,7310万,-7680万,-369万,-1.91,4603万,-5486万,-883万,-4.56
264,002118,紫鑫药业,16.69,4.57,1245万,330,4895万,-2474万,2421万,8.33,8356万,-9532万,-1176万,-4.04,1.01亿,-9760万,294万,1.01,5428万,-6967万,-1539万,-5.30
265,600115,东方航空,2.77,2.59,1243万,17,1340万,-753万,587万,3.65,4796万,-4140万,656万,4.08,5492万,-5743万,-251万,-1.56,4448万,-5440万,-992万,-6.16
